sexo	Consume_empanada	Tipo_empanada_arepa	Bebida	consumo
hombre	TRUE	carne	cafe	85000
hombre	TRUE	queso	jugo	75000
hombre	FALSE	carne	cafe	155000
hombre	TRUE	carne	cafe	115000
hombre	TRUE	carne	cafe	85000
hombre	FALSE	carne	jugo	95000
hombre	TRUE	carne	malta	80000
hombre	TRUE	carne	jugo	75000
hombre	TRUE	carne	malta	140000
hombre	TRUE	carne	jugo	135000
mujer	FALSE	pescado	cafe	95000
hombre	TRUE	carne	cafe	145000
hombre	TRUE	queso	jugo	75000
hombre	TRUE	queso	cafe	85000
mujer	TRUE	pollo	cafe	115000
hombre	TRUE	queso	jugo	75000
hombre	TRUE	carne	malta	85000
hombre	TRUE	pollo	jugo	45000
mujer	TRUE	pollo	cafe	85000
hombre	TRUE	carne	jugo	45000
hombre	TRUE	carne	cafe	55000
hombre	FALSE	pescado	malta	180000
mujer	TRUE	queso	cafe	85000
mujer	TRUE	pollo	cafe	85000
mujer	TRUE	pollo	malta	160000
mujer	FALSE	queso	jugo	115000
hombre	FALSE	queso	cafe	125000
mujer	FALSE	carne	cafe	85000
mujer	FALSE	pescado	cafe	95000
hombre	FALSE	queso	cafe	180000
mujer	TRUE	queso	cafe	55000
mujer	TRUE	pollo	malta	50000
mujer	FALSE	queso	jugo	65000
hombre	FALSE	pescado	cafe	165000
mujer	FALSE	carne	cafe	115000
mujer	FALSE	pescado	cafe	95000
hombre	FALSE	queso	cafe	125000
hombre	FALSE	queso	cafe	125000
mujer	FALSE	carne	cafe	155000
mujer	TRUE	queso	cafe	10000
