Edad	Sexo	Fruta	Vegetales	Carnico	Consumo
74	F	Cambur	Papa	Pollo	117.98
51	M	Manzana	Papa	Carne	167.01
31	F	Melon	Papa	Carne	144.67
59	F	Naranja	Cebolla	Pollo	166.92
53	M	Naranja	Papa	Pollo	283.3
47	F	Cambur	Papa	Pollo	297.25
37	M	Anana	Papa	Pollo	128.99
78	F	Melon	Cebolla	Pollo	222.07
31	M	Naranja	Papa	Cerdo	221.67
18	M	Naranja	Cebolla	Cerdo	236.12
33	F	Cambur	Papa	Cerdo	63.72
75	F	Cambur	Papa	Cerdo	77.18
60	M	Manzana	Cebolla	Cerdo	89.27
77	M	Cambur	Papa	Carne	296.88
74	F	Anana	Papa	Cerdo	57.41
55	M	Cambur	Papa	Pollo	143.76
29	M	Melon	Tomate	Pollo	35.15
68	F	Cambur	Papa	Carne	189.63
57	M	Cambur	Lechuga	Carne	188.65
55	F	Cambur	Papa	Carne	84.43
34	F	Melon	Tomate	Pollo	200.15
77	M	Naranja	Cebolla	Carne	92.85
26	F	Melon	Papa	Cerdo	171.66
50	M	Anana	Papa	Carne	74.72
71	F	Cambur	Papa	Carne	148.68
55	F	Naranja	Papa	Pollo	93.71
80	F	Anana	Tomate	Cerdo	274.3
27	M	Anana	Papa	Pescado	147.81
66	M	Cambur	Cebolla	Pollo	142.96
80	M	Cambur	Papa	Cerdo	130.22
43	F	Melon	Tomate	Pescado	73.52
36	F	Naranja	Tomate	Pollo	200.27
33	F	Cambur	Tomate	Pollo	111.9
28	F	Anana	Papa	Pollo	245.2
50	M	Cambur	Papa	Pollo	246.5
72	M	Melon	Papa	Carne	154.04
22	F	Cambur	Papa	Cerdo	285.5
56	M	Melon	Papa	Carne	246.28
63	M	Naranja	Cebolla	Pescado	207.47
56	M	Anana	Lechuga	Pollo	133.1
46	F	Cambur	Papa	Pollo	110.67
21	M	Anana	Lechuga	Pescado	33.5
40	M	Naranja	Papa	Pollo	90.32
28	M	Melon	Papa	Pollo	157.95
74	M	Anana	Papa	Carne	166.26
34	M	Naranja	Papa	Carne	243.07
26	M	Cambur	Cebolla	Carne	74.99
49	F	Cambur	Papa	Pollo	127.63
90	F	Cambur	Tomate	Carne	171.3
41	M	Anana	Papa	Carne	124.54
25	M	Cambur	Papa	Pescado	226.12
46	F	Melon	Papa	Carne	250.92
34	F	Naranja	Papa	Pollo	259.2
48	M	Cambur	Papa	Pollo	260.89
51	M	Naranja	Cebolla	Pollo	218.93
22	M	Naranja	Papa	Cerdo	151.32
52	M	Melon	Papa	Pollo	92.49
25	F	Cambur	Papa	Carne	111.19
16	F	Cambur	Cebolla	Pollo	237.69
