Zona1	Tipo1	Zona2	Tipo2	Zona3	Tipo3	Zona4	Tipo4	Zona3B
152.28	Guisar	44.5	Guisar	363.45	Guisar	52.12	Guisar	1852
134.26	Guisar	95.12	Bistec	340.4	Guisar	14.49	Molida	1861
148.8	Guisar	97.74	Bistec	342.2	Guisar	84.04	Bistec	2147.9
233.88	Bistec	80.77	Bistec	399.58	Guisar	80.63	Bistec	1648.5
133.28	Guisar	44.97	Guisar	299.7	Molida	19.18	Molida	2577.6
68.34	Molida	16.63	Molida	485.52	Bistec	37.76	Molida	1745.3
195.55	Guisar	35.26	Guisar	319.06	Molida	13.28	Molida	2211.55
98.49	Molida	13.27	Molida	412.31	Guisar	88.13	Bistec	1402.2
73.8	Molida	103.7	Bistec	250.44	Molida	52.94	Guisar	1970.95
169.11	Guisar	91.81	Bistec	364.19	Guisar	24.74	Molida	2643.9
141.28	Guisar	54.44	Guisar	498.78	Bistec	102.67	Bistec	3905
218.11	Bistec	49.14	Guisar	751	Bistec	40.99	Guisar	1666.9
68.15	Molida	78.59	Bistec	303.38	Molida	107.95	Bistec	1865.65
143.46	Guisar	90.85	Bistec	343.13	Guisar	49.75	Guisar	1779.6
217.85	Bistec	36.2	Guisar	325.92	Molida	43.21	Guisar	1916.2
110.69	Guisar	31.79	Guisar	353.24	Guisar	16.73	Molida	1890.55
217.14	Bistec	13.94	Molida	348.11	Guisar	60.74	Guisar	2381.5
208.08	Guisar	77.61	Bistec	446.3	Guisar	88.71	Bistec	1554.35
163.95	Guisar	59.12	Guisar	280.87	Molida	89.72	Bistec	1961
246.38	Bistec	70.38	Bistec	362.2	Guisar	66.54	Guisar	2329.7
223.87	Bistec	39.54	Guisar	435.94	Guisar	102.75	Bistec	2304.05
176.68	Guisar	46.35	Guisar	430.81	Guisar	19.29	Molida	2396.55
171.13	Guisar	58.89	Guisar	449.31	Guisar	39.21	Molida	3122.5
133.38	Guisar	80.29	Bistec	594.5	Bistec	107.09	Bistec	1846.15
20.29	Molida	31.4	Guisar	339.23	Molida	59.33	Guisar	3605.1
52.14	Molida	32.56	Guisar	691.02	Bistec	52.14	Guisar	3150
266.87	Bistec	9.79	Molida	600	Bistec	46.15	Guisar	2986.4
152.13	Guisar	13.92	Molida	567.28	Bistec	57.52	Guisar	2380.15
147.85	Guisar	77.8	Bistec	446.03	Guisar	63.63	Guisar	1828.45
222.76	Bistec	35.2	Guisar	335.69	Molida	103.77	Bistec	1853.9
251.03	Bistec	95.04	Bistec	340.78	Guisar	90.86	Bistec	1685.15
188.63	Guisar	62.38	Bistec	307.03	Molida	75.02	Bistec	3152.3
177.1	Guisar	84.63	Bistec	600.46	Bistec	27.49	Molida	1742.1
71.25	Molida	70.42	Bistec	318.42	Molida	13.15	Molida	1805.9
203.59	Guisar	97.01	Bistec	331.18	Molida	66.22	Guisar	1751.75
231.1	Bistec	66.83	Bistec	320.35	Molida	51.72	Guisar	1938.7
141.42	Guisar	64.98	Bistec	357.74	Guisar	105.98	Bistec	1799.85
100.86	Guisar	85.54	Bistec	329.97	Molida	56.53	Guisar	2508.7
157.46	Guisar	25.7	Guisar	471.74	Bistec	10.02	Molida	2063.3
128.35	Guisar	36.1	Guisar	382.66	Guisar	48.42	Guisar	2229.15
176.89	Guisar	102.68	Bistec	415.83	Guisar	90.98	Bistec	2305.85
204.59	Guisar	8.29	Molida	431.17	Guisar	58.48	Guisar	3504.55
75.29	Molida	92.14	Bistec	670.91	Bistec	97.82	Bistec	1906.4
137.3	Guisar	34.51	Guisar	351.28	Guisar	58.55	Guisar	2987.1
30.01	Molida	16.23	Molida	567.42	Bistec	40.88	Guisar	3060.4
203.29	Guisar	45.38	Guisar	582.08	Bistec	104.59	Bistec	2942.3
277.9	Bistec	69.65	Bistec	558.46	Bistec	90.22	Bistec	1846.75
53.37	Molida	41.67	Guisar	339.35	Molida	15.15	Molida	2328.3
58.71	Molida	6.03	Molida	435.66	Guisar	87.12	Bistec	1953.15
68.23	Molida	100.21	Bistec	360.63	Guisar	55.19	Guisar	3197.3
94.11	Molida	92.01	Bistec	609.46	Bistec	89.85	Bistec	2945.5
129.69	Guisar	21.13	Guisar	559.1	Bistec	107.72	Bistec	2893
197.57	Guisar	28.33	Guisar	548.6	Bistec	62.89	Guisar	2086.1
173.67	Guisar	9.61	Molida	387.22	Guisar	78.33	Bistec	1930.95
240.59	Bistec	43.79	Guisar	356.19	Guisar	81.65	Bistec	2725.6
61.54	Molida	53.68	Guisar	515.12	Bistec	98.43	Bistec	2414.65
298.38	Bistec	95	Bistec	452.93	Guisar	36.12	Molida	3500.55
68.84	Molida	42.07	Guisar	670.11	Bistec	56.63	Guisar	2994.85
288.11	Bistec	10	Molida	568.97	Bistec	96.18	Bistec	150
